data_referencia,mes,municipio,estado,regiao_operacional,latitude,longitude,cultura,fase_cultura,area_ha,produtividade_esperada_sc_ha,produtividade_revisada_sc_ha,preco_referencia_rs_sc,percentual_vendido,producao_esperada_sc,producao_revisada_sc,volume_vendido_sc,nino34,oni,prob_el_nino,prob_neutro,prob_la_nina,chuva_7d_mm,chuva_15d_mm,chuva_30d_mm,anomalia_temp_c,temperatura_media_c,dias_sem_chuva,umidade_solo_pct,ndvi_atual,ndvi_anterior,variacao_ndvi_pct,irea_indice_risco_enso_agricola,risco_produtivo,risco_comercial_score,risco_comercial,risco_entrega_sc,valor_producao_revisada_rs,recomendacao
2026-06-01,06/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,entressafra/preparo,900,60,58.7,120,0.3,54000,52830.0,16200.0,1.05,0.95,0.9,0.08,0.02,17.6,31.8,62.5,1.88,27.74,7,24.0,0.742,0.746,-0.4,46.6,Moderado,39.8,Baixo,351,6339600.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-07-01,07/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,entressafra/preparo,900,60,57.4,120,0.3,54000,51660.0,16200.0,1.15,1.05,0.92,0.06,0.02,8.6,18.4,39.9,1.86,26.71,10,12.6,0.68,0.703,-3.3,59.3,Alto,47.4,Moderado,702,6199200.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,preparo e planejamento,900,60,56.0,120,0.3,54000,50400.0,16200.0,1.25,1.15,0.94,0.05,0.01,6.9,0.0,9.8,1.94,27.98,20,8.0,0.689,0.675,2.0,72.2,Alto,55.2,Moderado,1080,6048000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,pre-plantio,900,60,56.1,120,0.3,54000,50490.0,16200.0,1.35,1.25,0.95,0.04,0.01,6.0,11.2,27.4,1.25,28.36,20,8.0,0.708,0.692,2.2,71.5,Alto,54.8,Moderado,1053,6058800.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,plantio/emergencia,900,60,56.9,120,0.3,54000,51210.0,16200.0,1.45,1.35,0.96,0.03,0.01,12.7,25.0,66.9,1.15,27.59,12,19.1,0.691,0.669,3.3,63.6,Alto,50.0,Moderado,837,6145200.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-11-01,11/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,desenvolvimento vegetativo,900,60,58.0,120,0.3,54000,52200.0,16200.0,1.55,1.45,0.96,0.03,0.01,30.3,54.1,108.5,2.29,27.23,7,25.9,0.696,0.726,-4.2,53.9,Moderado,44.1,Baixo,540,6264000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-12-01,12/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,florescimento,900,60,57.5,120,0.3,54000,51750.0,16200.0,1.65,1.55,0.96,0.03,0.01,34.8,82.3,149.3,1.22,27.42,7,34.1,0.703,0.69,1.8,57.8,Alto,46.5,Moderado,675,6210000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2027-01-01,01/2027,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,enchimento de graos,900,60,57.7,120,0.3,54000,51930.0,16200.0,1.5,1.45,0.93,0.05,0.02,41.4,81.7,149.2,1.08,27.68,5,34.3,0.718,0.772,-6.9,56.5,Alto,45.7,Moderado,621,6231600.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2027-02-01,02/2027,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Soja,maturacao/colheita,900,60,58.5,120,0.3,54000,52650.0,16200.0,1.3,1.25,0.88,0.09,0.03,25.8,77.9,134.7,2.51,28.56,7,31.8,0.671,0.68,-1.4,48.5,Moderado,40.9,Baixo,405,6318000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-06-01,06/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,enchimento de graos,380,115,106.2,60,0.7,43700,40356.0,30590.0,1.05,0.95,0.9,0.08,0.02,13.7,39.2,61.2,1.3,27.0,9,20.1,0.606,0.633,-4.4,66.9,Alto,73.7,Alto,2341,2421360.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
